Site,Depth,Pot ID,Missing (Y/N),Concrete,Zinc,Pot Condition,Measured Live,Live Average Length (mm),Measured Dead,Dead Average Length (mm),Live Oyster Count,Dead Oyster Count,Percent Live,Legal Oysters,Sublegal Oysters,Barnacles,Bryozoan Percent Cover
NRBS,Shallow,1004,N,Y,NA,,10,99.2,0,,81,0,1,17,64,0,80
NRBS,Shallow,1005,N,Y,NA,,10,74.5,0,,40,0,1,26,14,0,5
NRBS,Shallow,1006,N,N,NA,,10,92,0,,30,0,1,22,8,0,10
NRM,Deep,71,N,N,Y,3,0,,0,,0,0,,0,0,0,50
NRM,Deep,82,N,N,N,2,0,,0,,0,0,,0,0,0,15
NRM,Deep,89,N,N,Y,2,2,26,0,,0,0,,0,0,0,100
NRM,Deep,90,N,N,Y,1,0,,0,,0,0,,0,0,0,100
NRM,Deep,123,N,Y,Y,2,4,37,0,,3,0,1,1,2,0,80
NRM,Deep,127,N,Y,N,2,0,,0,,0,0,,0,0,0,80
NRM,Deep,206,N,Y,N,2,0,,0,,0,0,,0,0,0,95
NRM,Deep,213,N,Y,N,1,5,74.6,0,,5,0,1,3,2,0,100
NRM,Deep,231,N,N,Y,2,0,,0,,0,0,,0,0,0,95
NRM,Deep,235,N,N,Y,1,1,38,0,,0,0,,0,0,0,100
NRM,Deep,242,N,N,N,1,0,,0,,0,0,,0,0,0,100
NRM,Deep,274,N,N,Y,2,0,,0,,0,0,,0,0,0,95
NRM,Mid,70,N,N,N,2,10,75.5,0,,40,0,1,15,25,0,50
NRM,Mid,83,N,N,Y,2,10,53.6,0,,17,0,1,12,5,0,35
NRM,Mid,87,N,N,Y,2,0,,0,,0,0,,0,0,0,0
NRM,Mid,88,N,N,Y,2,10,75.1,0,,17,0,1,7,10,0,15
NRM,Mid,118,N,Y,Y,2,10,70.9,0,,25,0,1,25,0,0,20
NRM,Mid,139,N,Y,N,1,10,75.8,0,,150,0,1,50,100,0,50
NRM,Mid,190,N,Y,N,2,10,65.1,0,,150,0,1,50,100,0,25
NRM,Mid,194,N,Y,N,1,0,,0,,0,0,,0,0,0,10
NRM,Mid,240,N,N,N,2,10,59.1,0,,62,0,1,15,47,0,20
NRM,Mid,243,N,N,N,3,10,53.2,0,,15,0,1,8,7,0,15
NRM,Mid,247,N,N,N,3,10,69.7,0,,80,0,1,30,50,0,20
NRM,Mid,249,N,N,N,3,8,69.125,0,,8,0,1,3,5,0,10
NRM,Shallow,74,N,N,Y,2,10,58.3,0,,42,0,1,12,30,0,0
NRM,Shallow,81,N,N,N,2,0,,0,,0,0,,0,0,0,0
NRM,Shallow,84,N,N,N,2,3,24,0,,3,0,1,0,3,0,0
NRM,Shallow,116,N,Y,N,1,10,50.4,0,,97,0,1,97,0,0,0
NRM,Shallow,126,N,Y,Y,2,10,60.9,0,,423,0,1,73,350,0,0
NRM,Shallow,141,N,N,Y,Y,10,44.7,0,,14,0,1,2,12,0,0
NRM,Shallow,195,N,Y,Y,1,10,43.6,0,,370,0,1,70,300,0,0
NRM,Shallow,208,N,Y,N,2,10,64.9,0,,450,0,1,50,400,0,0
NRM,Shallow,222,N,N,Y,3,10,52.1,0,,48,0,1,7,41,0,0
NRM,Shallow,234,N,N,Y,3,10,58.2,0,,190,0,1,40,150,0,0
NRM,Shallow,266,N,N,N,1,10,48.1,0,,62,0,1,4,58,0,0
NRM,Shallow,275,N,N,Y,1,10,59.2,0,,67,0,1,12,55,0,0
